Feature\Product;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;
AEPHK_LIB_NAME;-;X;-;X;X;X;-;X;-;-;-;X;X;X;-;-;X;-;-;
AEPRAND;-;-;X;X;-;X;X;-;X;-;X;-;-;X;-;X;-;-;-;
AES_ASM;-;X;X;-;-;-;X;X;-;-;X;X;X;-;X;-;-;-;-;
AES_COMPACT_IN_INNER_ROUNDS;-;X;X;X;-;-;-;X;-;X;X;-;X;-;-;-;-;-;-;
AES_COMPACT_IN_OUTER_ROUNDS;-;X;X;-;-;X;-;X;X;-;-;X;X;-;X;-;-;-;-;
AES_CTR_ASM;-;X;-;X;X;X;-;X;-;-;-;X;X;X;-;X;-;-;-;
AES_DEBUG;-;X;X;-;X;-;-;X;X;X;-;-;-;-;-;-;-;-;-;
AES_WRAP_TEST;-;X;-;X;X;X;-;-;-;X;X;-;X;-;-;X;-;-;-;
AES_XTS_ASM;-;-;X;X;-;X;X;-;-;-;X;X;X;-;-;-;-;-;-;
APPMACROS_ONLY;-;X;X;-;-;X;-;X;-;X;-;-;-;X;X;X;-;-;-;
APP_INIT;-;X;-;-;X;X;-;X;X;-;X;X;-;-;-;-;-;-;-;
ASN1_MAX_STRING_NEST;-;X;X;-;X;X;-;-;-;-;X;-;X;X;-;-;-;-;-;
ATALLA_LIB_NAME;-;-;X;X;X;-;X;-;-;X;-;X;X;-;X;-;-;-;-;
BEOS_THREADS;-;X;-;X;-;X;X;-;-;X;X;X;-;-;X;-;-;X;-;
BF_DEFAULT_OPTIONS;-;X;X;-;X;-;-;-;X;X;X;-;X;-;-;-;-;-;-;
BF_PTR;-;X;X;-;X;X;-;X;-;-;-;-;X;-;-;-;-;-;-;
BF_PTR2;-;X;-;X;X;-;X;-;-;X;-;-;X;X;-;X;-;-;-;
BIO_DEBUG;-;-;X;X;-;X;-;X;X;-;-;X;X;-;-;X;-;-;-;
BIO_PAIR_DEBUG;-;-;X;X;X;-;X;-;-;X;-;X;X;-;-;X;-;-;-;
BIT_FIELD_LIMITS;-;X;X;-;X;-;-;-;X;X;-;X;X;-;-;-;-;-;-;
BN_COUNT;-;X;X;-;X;-;-;X;X;-;-;X;X;-;X;-;-;-;-;
BN_CTX_DEBUG;-;X;X;-;-;X;-;-;X;X;X;X;-;-;-;X;-;-;-;
BN_DEBUG;-;X;-;X;-;-;X;X;X;-;-;-;X;X;-;-;-;-;-;
